Title,URL,Product,Items Available,Final Price,Date closed,Seller name,Seller page,Description
,,,,,,,,
iPhone 5s 32GB Silver {Good Condition 8/10} (6 Month Warranty),https://www.bidorbuy.co.za/item/309227466/iPhone_5s_32GB_Silver_Good_Condition_8_10_6_Month_Warranty.html,"
  ,  iPhone 5S  32GB  iOS",1,"R2,890.",10/23/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,: Looks fantastic with almost no noticeable marks from previous usage. ,Frame,: The frame has a few marks from previous usage (See Photos).,Back Casing,: The back casing also still looks fantastic with a few small marks from previous usage.,Functions,: All system functions are working 100% on this device.  ,Special Mention,: This is a great device at a great price, this really is an Epic Deal!,Accessories,: This device comes with the original, secondhand, earphones, Lightning Cable and Wall adapter which are all still in a fantastic condition!, ,Dhiren - ""Always a pleasure dealing with this seller!!! Recommended always !!! :-)"",Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). , ,Like all our devices, this iPhone is not iCloud locked!,*Your iPhone comes with a 6 month warranty (excluding general wear and tear)*,Have peace of mind when buying from Epic Deals,In association with one of SA's best repair centres, your device will be covered by a 6 month warranty against manufacturer defects. The warranty begins the day you receive your device.,Software, liquid and physical damage is not covered. Device will be sent to us for warranty claims and will be processed as quickly as possible. All transport costs to be borne by buyer. If you ever need ""out of warranty"" repairs we've negotiated a 10% discount for you, from our partner repair centre.,
  ,
,    
"
,,,,,,,,
IPhone 5S - 64GB,https://www.bidorbuy.co.za/item/309225988/IPhone_5S_64GB.html,"
  ,  iPhone 5S  64GB  iOS",1,"R2,000.,R3,500.",10/23/2017,Graham1980,https://www.bidorbuy.co.za/seller/2367556/Graham1980,"
	,	
	  , IPhone 5S - 64GB Good Condition,Comes with Charger, no box.,
  ,
,    
"
,,,,,,,,
Apple iphone 6  Space Grey ***,https://www.bidorbuy.co.za/item/309298674/Apple_iphone_6_Space_Grey.html,"
  ,  iPhone 6  iOS",1,"R1,599.",10/22/2017,zah_Cell,https://www.bidorbuy.co.za/seller/2590795/zah_Cell,"
	,	
	  , ,Apple iphone 6 space grey for sale. Phone is in a good condition, with signs of usage. The price has been reduced due to the phone having a cracked screen and not turning on. All functions worked prior to the phone LCD being cracked. As the phone no longer turns on, we are unable to test all the functions of the phone currently.The charge port also seems too tight for the charger, may have some dust which needs to be cleaned out. With a new LCD, and cleaning of          the charge port the phone may work 100%, or may have other issues.,Selling this phone as-is, for spares or repairs only!!,Pictures of the phone when it was functional: , , , Auction includes Phone only, ,R80 SHIPPING ON Normal MAIL, R140 FOR SPEED SERVICES and R200 door to door (Via SAPO).,Please add 4% for insurance if required., ,PAYMENT MUST BE MADE WITHIN 24 HOURS AFTER THE END OF THE AUCTION., ,Should you have any problems after receiving the phone, please contact us and well try our best to help. The phone is in a good condition and you will get exactly what is described, so there shouldn't be any issues, , ,
  ,
,    
"
,,,,,,,,
iPhone 6 PLUS - 64GB - Space Grey with box and Apple cover,https://www.bidorbuy.co.za/item/308522280/iPhone_6_PLUS_64GB_Space_Grey_with_box_and_Apple_cover.html,"
  ,  iPhone 6 Plus  64GB  iOS  5.5 Inches & Over  8 Megapixels or more",1,"R4,000.,R5,500.",10/22/2017,garreth2006,https://www.bidorbuy.co.za/seller/419164/garreth2006,"
	,	
	  , iPhone 6 Plus 64GB in space grey, excellent condition, well looked after, always in cover.,Comes with 3 FREE covers. 1 of these is a black Apple Leather cover original (Worth R1000),With original box and charger.,iPhone 6 Plus,iPhone 6 Plus features a stunning 5.5-inch Retina HD display. An A8 chip with 64-bit desktop-class architecture. 8MP iSight camera with Focus Pixels and optical image stabilization. Touch ID. Fast Wi-Fi. Long battery life. And iOS 9 and iCloud., ,www.myistore.co.za/iphone-6-plus-1, , , ,
  ,
,    
"
,,,,,,,,
Like Brand New iPhone 6 128GB Gold & White with box and all Accesories Latest iOS,https://www.bidorbuy.co.za/item/308661522/Like_Brand_New_iPhone_6_128GB_Gold_White_with_box_and_all_Accesories_Latest_iOS.html,"
  ,  iPhone 3G  128GB  iOS  4.5 to 4.9 Inches  8 Megapixels or more",1,"R4,400.",10/22/2017,Jacqueline0923,https://www.bidorbuy.co.za/seller/2431238/Jacqueline0923,"
	,	
	  , ,We have the right to delete any bid which has negative ratings and/or chancers as we incur fees from Bid or Buy when selling.,Does have the box for the earphones.,
  ,
,    
"
