Title,URL,Product,Items Available,Final Price,Date closed,Seller name,Seller page,Description
APPLE IPAD MINI | 64GB | CELLULAR + WiFi | BLACK | IPAD MINI | MD542HC/A,https://www.bidorbuy.co.za/item/309531148/APPLE_IPAD_MINI_64GB_CELLULAR_WiFi_BLACK_IPAD_MINI_MD542HC_A.html,"
  ,  iPad Mini  64 GB  4G + Wi-Fi",1,"R3,250.,R3,500.",2017-10-24,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI | 64GB | CELLULAR + WiFi | BLACK | IPAD MINI | MD542HC/A, ,7,9"" LED | Camera 5MP iSight | A5 chip 1GHz Dual-Core CPU,***  IPAD MINI  ***, COMES WITH CHARGER & USB CABLE, ,GOOD CONDITION, , , , , , , , ,
  ,
,    
"
IPAD MINI 4 | 16GB | 4G CELLULAR & WIFI | GOLD | RETINA |  A1550 | MK712HC/A | TOUCH ID FINGERPRINT,https://www.bidorbuy.co.za/item/309239499/IPAD_MINI_4_16GB_4G_CELLULAR_WIFI_GOLD_RETINA_A1550_MK712HC_A_TOUCH_ID_FINGERPRINT.html,"
  ,  iPad Mini 4  16 GB  4G + Wi-Fi",1,"R3,500.,R3,800.",2017-10-24,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI 4 | 16GB | 4G CELLULAR & WIFI | GOLD | RETINA DISPLAY | MK712HC/A | TOUCH ID FINGERPRINT, ,*** IPAD MINI 4***, , , , ,COMES WITH CHARGER & USB CABLE,EXCELLENT CONDITION OVERALL - , DINGS ON CORNERS,WHAT YOU SEE BELOW IS WHAT YOU GET,THESE ARE ACTUAL PICTURES OF THE ITEM ON AUCTION, ,  , ,   , ,  , ,OTHER BARGAINS ON AUCTIONS THIS WEEK, , , , , , ,
  ,
,    
"
iPad,https://www.bidorbuy.co.za/item/309691495/iPad.html,"
  ,  iPad Pro  32 GB  Wi-Fi",1,"R3,500.,R4,500.",2017-10-23,braampie,https://www.bidorbuy.co.za/seller/466976/braampie,"
	,	
	  , iPad Pro 32 Gb,13.9"" - huge,With stand & cover,Can be used as mini laptop,With cable and earphones, ,
  ,
,    
"
Apple iPad air 2,https://www.bidorbuy.co.za/item/308662070/Apple_iPad_air_2.html,"
  ,  iPad Air 2   64 GB  Wi-Fi",1,"R4,000.",2017-10-23,Malete1993,https://www.bidorbuy.co.za/seller/3449608/Malete1993,"
	,	
	  ,Still in good condition gold range apple iPad, ,
  ,
,    
"
IPAD AIR | 16GB | 4G | WiFi | MD791HC/A | SPACE GREY | APPLE  ***  RETINA DISPLAY  ***,https://www.bidorbuy.co.za/item/309440189/IPAD_AIR_16GB_4G_WiFi_MD791HC_A_SPACE_GREY_APPLE_RETINA_DISPLAY.html,"
  ,  iPad Air  16 GB  4G + Wi-Fi",1,"R3,500.,R3,750.",2017-10-23,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,IPAD AIR | 16GB | 4G | WiFi | MD791HC/A | SPACE GREY | APPLE,***  RETINA DISPLAY  ***, , ,COMES WITH CHARGER & USB CABLE ,PLUS BOX, , ,
  ,
,    
"
APPLE IPAD MINI | 16GB | WiFi | MD531HC/A | WHITE | GENUINE APPLE | IPAD MINI,https://www.bidorbuy.co.za/item/309464424/APPLE_IPAD_MINI_16GB_WiFi_MD531HC_A_WHITE_GENUINE_APPLE_IPAD_MINI.html,"
  ,  iPad Mini  16 GB  Wi-Fi",1,"R1,995.,R2,200.",2017-10-23,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI | 16GB | WiFi | WHITE | GENUINE APPLE | IPAD MINI,***  IPAD MINI  ***, , COMES WITH CHARGER & USB CABLE ONLY,EXCELLENT CONDITION - ONE TINY SCRATCH ON SCREEN,WHAT YOU SEE BELOW IS WHAT YOU GET,THESE ARE ACTUAL PICTURES OF THE ITEM ON AUCTION, , , , , , , , ,
  ,
,    
"
iPad Air 2 + Bluetooth Keyboard + Stylus,https://www.bidorbuy.co.za/item/309301152/iPad_Air_2_Bluetooth_Keyboard_Stylus.html,"
  ,  iPad Air 2   16 GB  Wi-Fi",1,"R3,250.,R4,500.",2017-10-22,TechSeconds,https://www.bidorbuy.co.za/seller/2752989/TechSeconds,"
	,	
	  ,Genuine Apple iPad Air 2,Condition: Excellent,Original screen,Color: Space Grey,Features:,Touch ID,Connectivity: WiFi,Storage: 16G,Screen: 9.7-Inch Retina,What's in the box?,iPad Air 2,Kensington KeyFolio Bluetooth Wireless Keyboard for iPad Air 2,Adonit Jot Pro Fine Point Stylus - Black, ,Actual Photos, ,Payment to be made within 24 hours, please :), ,
  ,
,    
"
**BARGAIN BUY** MONSTER APPLE iPAD PRO 12.9' 128GB WiFi + 4G + KEYBOARD + PENCIL -GRAB IT @R10999!!!,https://www.bidorbuy.co.za/item/308623038/_BARGAIN_BUY_MONSTER_APPLE_iPAD_PRO_12_9_128GB_WiFi_4G_KEYBOARD_PENCIL_GRAB_IT_R10999.html,"
  ,  iPad Pro  128 GB  4G + Wi-Fi",1,"R10,999",2017-10-20,TechoWizz,https://www.bidorbuy.co.za/seller/2055765/TechoWizz,"
	,	
	  ,APPLE iPAD PRO 12.9' SPACE GREY,128GB WiFi + 4G ,OVERALL VERY GOOD CONDITION!!! ,2 MINOR MARKS ON THE EDGES OF THE SCREEN,+,FREE KEYBOARD (WORTH R1000) ,&,FREE GENUINE APPLE PENCIL ,(WORTH R2000),ORIGINAL BOX & CHARGER  ,THIS BRUTE RETAILS FOR OVER R20000 ,CLICK HERE TO VERIFY,GRAB A BARGAIN @ ONLY R10999,
  ,
,    
"
IPAD MINI 2 (APPLE) | 32GB | WiFi | SILVER | ME280HC/A | Retina Display | 7.9 Inch Tablet,https://www.bidorbuy.co.za/item/308620582/IPAD_MINI_2_APPLE_32GB_WiFi_SILVER_ME280HC_A_Retina_Display_7_9_Inch_Tablet.html,"
  ,  iPad Mini  32 GB  Wi-Fi",1,"R2,500.,R2,750.",2017-10-20,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,IPAD MINI 2 (APPLE) | 32GB | WiFi | SILVER | ME280HC/A | Retina Display | 7.9 Inch Tablet,** IPAD MINI 2 **, ,COMES WITH USB CABLE, CHARGER ,PLUS BOX ,EXCELLENT CONDITION, , , ,
  ,
,    
"
Apple iPad 3 32GB WIFI ONLY,https://www.bidorbuy.co.za/item/309296047/Apple_iPad_3_32GB_WIFI_ONLY.html,"
  ,  iPad 3  32 GB  Wi-Fi",1,"R1,600.",2017-10-20,TechieOnline,https://www.bidorbuy.co.za/seller/2736257/TechieOnline,"
	,	
	  , ,IPAD 3 | 32GB | CELLULAR | WiFi | BLACK | GENUINE APPLE  , ,***  IPAD3  ***, , , , , , ,COMES WITH CHARGER & USB CABLE ,OVERALL EXCELLENT WORKING CONDITION 9/10 CONDITION,PAYMENT WITHIN 48 HRS OF AUCTION CLOSING. PLEASE DO NOT BID OR BUY IF YOU DO NOT INTEND TO PAY,
  ,
,    
"
