Title,URL,Product,Items Available,Final Price,Winning bid,Date closed,Seller name,Seller page,Description
,,,,,,,,,
"MACBOOK AIR 13.3"" | INTEL CORE i5-4260U @ 1.40GHz | 4GB RAM | 128GB FLASH STORAGE | MAC OS X",https://www.bidorbuy.co.za/item/310461327/MACBOOK_AIR_13_3_INTEL_CORE_i5_4260U_1_40GHz_4GB_RAM_128GB_FLASH_STORAGE_MAC_OS_X.html,MacBook Air † 128GB †4 GB Ram †1.4Ghz or more †,1,"R6,499.,R8,499.","R6,499.99 † 29†Oct†08:59 †",10/29/2017,CGTECH,https://www.bidorbuy.co.za/seller/2100911/CGTECH,"
	,	
	  ,MACBOOK AIR 13.3"" EARLY 2014,PART NUMBER : MD760 LL/B,MODEL NUMBER : A1466,4TH GEN INTEL CORE i5-4260U CPU @ 1.4GHz,4GB DDR3 MEMORY,128GB FLASH STORAGE,13.3"" LED-BACKLIT GLOSSY WXGA (1440 x 900),INTEL HD GRAPHICS 5000 1536MB,WIFI + BLUETOOTH,BUILT-IN FACE TIME HD CAMERA,MAC OS X†,PAYMENT WITHIN 24 HOURS, ,**PLEASE DO NOT BID IF YOU DO NOT INTEND TO PAY WITH 24 HOURS,FOR SERIOUS BUYERS ONLY,†,†,†,
  ,
,    
"
,,,,,,,,,
"MACBOOK WHITE 13"" INTEL CORE 2 DUO @ 2.13GHz 2.13GHz, 2GB RAM, 320GB HDD, OS X EL CAPITAN",https://www.bidorbuy.co.za/item/310262691/MACBOOK_WHITE_13_INTEL_CORE_2_DUO_2_13GHz_2_13GHz_2GB_RAM_320GB_HDD_OS_X_EL_CAPITAN.html,"MacBook † 13 inch"" † 320GB †2 GB Ram †2.13Ghz or more †",1,"R1,300.","R1,300.00 † 29†Oct†21:59 †",10/29/2017,KING GADGET,https://www.bidorbuy.co.za/seller/1018369/KING_GADGET,"
	,	
	  ,†MACBOOK WHITE 13"" INTEL CORE 2 DUO @ 2.13GHz 2.13GHz, 2GB RAM, 320GB HDD,13-INCH MID 2009,MAC OS X EL CAPITAN 10.11.6,MACBOOK IS IN GOOD WORKING ORDER,BATTERY NEEDS TO BE REPLACED. ONLY WORKS ON CHARGER,COMES WITH CHARGER,†,†,†,†,†,†,
  ,
,    
"
,,,,,,,,,
MacBook Pro 13.3-inch | Core i7 3.0GHz | 16GB DDR3 | 500GB SSD FLASH STORAGE,https://www.bidorbuy.co.za/item/309475956/MacBook_Pro_13_3_inch_Core_i7_3_0GHz_16GB_DDR3_500GB_SSD_FLASH_STORAGE.html,"MacBook Pro † 13 inch"" † 500GB †16 GB Ram †2.6Ghz or more †",1,"R17,500,R17,990","R17,500.00 † 27†Oct†13:34 †",10/27/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,MacBook Pro 13.3-inch | Core i7 3.0GHz | 16GB DDR3 | 500GB SSD FLASH STORAGE,MID 2014 MODEL,†,COMES WITH CHARGER ,EXCELLENT CONDITION,†,MacBook Pro 13.3-inch,†,RETINA,†,Core i7 3.0 GHz,16 GB†DDR3 RAM,500GB APPLE SSD STORAGE,INTEL IRIS 1536 MB,2560 X 1600 PIXELS,†,†,MAC OS X 10.12.6 Sierra,†,†,
  ,
,    
"
,,,,,,,,,
"**2015 Model**Apple Macbook AIR 13.3"" **5th Gen Intel Core i5**128GB SSD**4GB RAM**",https://www.bidorbuy.co.za/item/310312391/_2015_Model_Apple_Macbook_AIR_13_3_5th_Gen_Intel_Core_i5_128GB_SSD_4GB_RAM.html,"MacBook Air † 13 inch"" † 128GB †4 GB Ram †1.6Ghz or more †",1,"R6,600.","R6,600.00 † 27†Oct†14:01 †",10/27/2017,EZ TECH,https://www.bidorbuy.co.za/seller/1733659/EZ_TECH,"
	,	
	  ,Original Apple MacBook AIR AND CHARGER,EXCELLENT†9/10 Condition,Apple MacBook AIR - 13.3"" - 5th Gen Intel ,1.6 GHz Core i5 ,- 2015 - 128GB†SSD - 4GB RAM ,  ,†,The Apple MacBook Air ""Core i5"" 1.6 13-Inch (Early 2015/Broadwell)  features a 14-nm ""Broadwell ULT"" 1.6 GHz Intel ""Core i5"" processor  (5250U) with two independent processor ""cores"" on a single chip, a 3 MB  shared level 3 cache, 4 GB or 8 GB of ,onboard, 1600 MHz LPDDR3  SDRAM (4 GB of RAM originally with the option to upgrade to 8 GB at the  time of purchase only, and 8 GB standard starting April 19, 2016), 128  GB or 256 GB of 4 Lane PCIe-based flash storage, and an ""integrated""  Intel HD Graphics 6000 graphics processor that shares system memory.,This  all is packed in a razor thin 0.11-0.68 inch), 2.96 pound, aluminum  case with an integrated 720p ""FaceTime HD"" webcam, a backlit full-size  keyboard and a 13.3"" widescreen TFT LED backlit active-matrix ""glossy""  display (1440x900 native resolution).,Connectivity includes  802.11ac Wi-Fi, Bluetooth 4.0, analog audio out, a single ""Thunderbolt"" 2  port, two USB 3.0 ports, and an SDXC-capable SD card slot.,Compared to its ,predecessor,,  this model looks effectively identical, but has a more advanced  processor and architecture, more advanced graphics, ""twice as fast"" 4x  PCIe storage and Thunderbolt 2 support. It has some different  identifiers, too.,PAYMENT SHOULD BE MADE WITHIN 48 HOURS OF PURCHASE,Items will be sent with†courier @ R350 (1-3 Working Days for Delivery), ,Insurance is optional ,Items paid for will be dispatched day after payment clears unless it falls on a Friday†then it will only go out on Monday,Please note no collections will be allowed†as all items are sent straight from our warehouse to you,Only the OS and Drivers will be loaded on the computer ,†,ACTUAL†PICS†OF†LAPTOP:,†,†,†,
  ,
,    
"
,,,,,,,,,
"Apple MacBook Pro Core i5 13"" Mid2012/Early2013",https://www.bidorbuy.co.za/item/309452352/Apple_MacBook_Pro_Core_i5_13_Mid2012_Early2013.html,"MacBook Pro † 13 inch"" † 500GB †8 GB Ram †2.5Ghz or more †",1,"R6,000.","R6,000.00 † 26†Oct†17:19 †",10/26/2017,InfiniteCONNECT,https://www.bidorbuy.co.za/seller/3624572/InfiniteCONNECT,"
	,	
	  ,Apple MacBook Pro Core i5 13"" Early2013,Core i5 2.5GHz CPU,8GB memory†,13 inch display†,†,
  ,
,    
"
,,,,,,,,,
Apple MacBook Pro 13.3-inch | Core i5 2.5GHz | 4GB DDR3 RAM | 500GB HDD | MD101 - ORIGINAL APPLE,https://www.bidorbuy.co.za/item/306877934/Apple_MacBook_Pro_13_3_inch_Core_i5_2_5GHz_4GB_DDR3_RAM_500GB_HDD_MD101_ORIGINAL_APPLE.html,"MacBook Pro † 13 inch"" † 500GB †4 GB Ram †2.5Ghz or more †",1,"R5,400.","R5,400.00 † 6†Oct†08:24 †",10/26/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,Apple MacBook Pro 13.3-inch | Core i5 2.5GHz | 4GB DDR3 RAM | 500GB HDD,†,*** GENUINE APPLE ***,†,†,†,COMES WITH APPLE CHARGER ONLY †,†,WHAT YOU SEE BELOW IS WHAT YOU GET,THESE ARE ACTUAL PICTURES OF THE ITEM ON AUCTION,†,TOP HAS SCRATCHES AND CORNERS HAS DENTS,†,†,†,†,†,
  ,
,    
"
,,,,,,,,,
