Title,URL,Product,Items Available,Final Price,Winning bid,Date closed,Seller name,Seller page,Description
,,,,,,,,,
APPLE iPHONE 4 - 8GB - APPLE REPLACEMENTS IN BOX - EXCELLENT CONDITION + WARRANTY !!!,https://www.bidorbuy.co.za/item/310418228/APPLE_iPHONE_4_8GB_APPLE_REPLACEMENTS_IN_BOX_EXCELLENT_CONDITION_WARRANTY.html,Apple  iPhone 4  8GB  iOS  5 Megapixels or more,1,"R1,299.",,10/30/2017,SLICK TECH,https://www.bidorbuy.co.za/seller/1960639/SLICK_TECH,"
	,	
	  ,APPLE iPHONE 4 - 8GB BLACK,CLEAN CONDITION LIKE NEW !!!,N.B THIS ITEM WILL ONLY BE SENT VIA COURIER FOR SECURITY REASONS, ,THESE ARE APPLE REPLACEMENT PHONES, COMES IN BOX WITH PROTECTIVE FILM, INCLUDES WARRANTY !!! , IN MY OPINION PHONES ARE IN A "" BRAND NEW "" CONDITION, HOWEVER IT ,EXCLUDES, ! , USB CABLE & CHARGER, ITS JUST IPHONE ONLY, PHONES HAVE BEEN CHARGED & TESTED,  PLEASE SEE ACTUAL PICS BELOW, ,iPHONE 4,INCLUDES:,PHONE ONLY !!!,IN BOX,!!! NO CHARGER, NO CABLE, NO ACCESSORIES !!!, ,PAYMENT REQUIRED WITHIN 24HRS OF PURCHASE,SEE ACTUAL PICS BELOW, ,
  ,
,    
"
,,,,,,,,,
APPLE iPHONE 4 - 8GB - APPLE REPLACEMENTS IN BOX - EXCELLENT CONDITION + WARRANTY !!!,https://www.bidorbuy.co.za/item/310418230/APPLE_iPHONE_4_8GB_APPLE_REPLACEMENTS_IN_BOX_EXCELLENT_CONDITION_WARRANTY.html,Apple  iPhone 4  8GB  iOS  5 Megapixels or more,1,"R1,299.",,10/30/2017,SLICK TECH,https://www.bidorbuy.co.za/seller/1960639/SLICK_TECH,"
	,	
	  ,APPLE iPHONE 4 - 8GB WHITE,CLEAN CONDITION LIKE NEW !!!,N.B THIS ITEM WILL ONLY BE SENT VIA COURIER FOR SECURITY REASONS, ,THESE ARE APPLE REPLACEMENT PHONES, COMES IN BOX WITH PROTECTIVE FILM, INCLUDES WARRANTY !!! , IN MY OPINION PHONES ARE IN A "" BRAND NEW "" CONDITION, HOWEVER IT ,EXCLUDES, ! , USB CABLE & CHARGER, ITS JUST IPHONE ONLY, PHONES HAVE BEEN CHARGED & TESTED,  PLEASE SEE ACTUAL PICS BELOW, ,iPHONE 4,INCLUDES:,PHONE ONLY !!!,IN BOX,!!! NO CHARGER, NO CABLE, NO ACCESSORIES !!!, ,PAYMENT REQUIRED WITHIN 24HRS OF PURCHASE,SEE ACTUAL PICS BELOW, ,
  ,
,    
"
,,,,,,,,,
iPhone 6s black Silver 64GB,https://www.bidorbuy.co.za/item/309743605/iPhone_6s_black_Silver_64GB.html,Apple  iPhone 6s  64GB  iOS  4.5 to 4.9 Inches  12 Megapixels or more,1,"R4,600.,R7,200.","R4,600.00   29 Oct 22:18  ",10/29/2017,spalankar,https://www.bidorbuy.co.za/seller/3299921/spalankar,"
	,	
	  , ,iPhone 6s 64gb black silver in very good condition rating 8.5/10 !!! ,Comes with box + usb cable !!! ,Small Scratches on screen guard top & bottom (which is replaceable) of phone. tiny scratch on screen hardly visible !!!!,Device is in good condition and 100% working order !!!! ,Collections available in Johannesburg Area only !!!,No bidders outside South Africa !! ,Payment within 24hrs of auction closing !!!!! ,Please do not bid if you not willing to pay !!!!,Please Communicate before any negative rating.,Happy Bidding!!!!! :-), ,
  ,
,    
"
,,,,,,,,,
APPLE iPHONE 4 - 8GB - APPLE REPLACEMENTS IN BOX - EXCELLENT CONDITION + WARRANTY !!!,https://www.bidorbuy.co.za/item/310446033/APPLE_iPHONE_4_8GB_APPLE_REPLACEMENTS_IN_BOX_EXCELLENT_CONDITION_WARRANTY.html,Apple  iPhone 4  8GB  iOS  5 Megapixels or more,1,R850.,R850.00   28 Oct 22:22  ,10/29/2017,SLICK TECH,https://www.bidorbuy.co.za/seller/1960639/SLICK_TECH,"
	,	
	  ,APPLE iPHONE 4 - 8GB BLACK,CLEAN CONDITION LIKE NEW !!!,N.B THIS ITEM WILL ONLY BE SENT VIA COURIER FOR SECURITY REASONS, ,THESE ARE APPLE REPLACEMENT PHONES, COMES IN BOX WITH PROTECTIVE FILM, INCLUDES WARRANTY !!! , IN MY OPINION PHONES ARE IN A "" BRAND NEW "" CONDITION, HOWEVER IT ,EXCLUDES, ! , USB CABLE & CHARGER, ITS JUST IPHONE ONLY, PHONES HAVE BEEN CHARGED & TESTED,  PLEASE SEE ACTUAL PICS BELOW, ,iPHONE 4,INCLUDES:,PHONE ONLY !!!,IN BOX,!!! NO CHARGER, NO CABLE, NO ACCESSORIES !!!, ,PAYMENT REQUIRED WITHIN 24HRS OF PURCHASE,SEE ACTUAL PICS BELOW, ,
  ,
,    
"
,,,,,,,,,
iPhone 5s 16GB with box,https://www.bidorbuy.co.za/item/309596365/iPhone_5s_16GB_with_box.html,Apple  iPhone 5S  16GB  iOS,1,"R1,950.",,10/29/2017,blacklightblue,https://www.bidorbuy.co.za/seller/192152/blacklightblue,"
	,	
	  ,iphone 5s, Silver, 16GB in good condition. Phone is reset so ready to use. On the top left and right, small chips, please see pic. Phone in perfect working condition. Including a case for the phone. Original box included - earphones never used. Please note that the plug is for the UK, you just need to buy an adapter. Also the charging cable is not included., ,
  ,
,    
"
