Title,URL,Product,Items Available,Final Price,Winning bid,Date closed,Seller name,Seller page,Description
,,,,,,,,,
APPLE iPHONE 4 - 8GB - APPLE REPLACEMENTS IN BOX - EXCELLENT CONDITION + WARRANTY !!!,https://www.bidorbuy.co.za/item/310446033/APPLE_iPHONE_4_8GB_APPLE_REPLACEMENTS_IN_BOX_EXCELLENT_CONDITION_WARRANTY.html,Apple  iPhone 4  8GB  iOS  5 Megapixels or more,1,R850.,R850.00   28 Oct 22:22  ,10/29/2017,SLICK TECH,https://www.bidorbuy.co.za/seller/1960639/SLICK_TECH,"
	,	
	  ,APPLE iPHONE 4 - 8GB BLACK,CLEAN CONDITION LIKE NEW !!!,N.B THIS ITEM WILL ONLY BE SENT VIA COURIER FOR SECURITY REASONS, ,THESE ARE APPLE REPLACEMENT PHONES, COMES IN BOX WITH PROTECTIVE FILM, INCLUDES WARRANTY !!! , IN MY OPINION PHONES ARE IN A "" BRAND NEW "" CONDITION, HOWEVER IT ,EXCLUDES, ! , USB CABLE & CHARGER, ITS JUST IPHONE ONLY, PHONES HAVE BEEN CHARGED & TESTED,  PLEASE SEE ACTUAL PICS BELOW, ,iPHONE 4,INCLUDES:,PHONE ONLY !!!,IN BOX,!!! NO CHARGER, NO CABLE, NO ACCESSORIES !!!, ,PAYMENT REQUIRED WITHIN 24HRS OF PURCHASE,SEE ACTUAL PICS BELOW, ,
  ,
,    
"
,,,,,,,,,
Apple iPad 1 - Non-working due to internal hardware error,https://www.bidorbuy.co.za/item/310103380/Apple_iPad_1_Non_working_due_to_internal_hardware_error.html,Apple  iPad 1  64 GB  3G + Wi-Fi,1,"R100.,R150.",,10/27/2017,Johan1FS,https://www.bidorbuy.co.za/seller/2723213/Johan1FS,"
	,	
	  , The iPad seems to have an internal hardware error which prohibits it from operating.  It powers on.  Usable for parts only.,
  ,
,    
"
,,,,,,,,,
APPLE IPAD MINI 2 | 16GB | WiFi | SILVER | ME279LL/A *** IPAD MINI 2** RETINA DISPLAY,https://www.bidorbuy.co.za/item/310388848/APPLE_IPAD_MINI_2_16GB_WiFi_SILVER_ME279LL_A_IPAD_MINI_2_RETINA_DISPLAY.html,Apple  iPad Mini  16 GB  Wi-Fi,1,"R1,340.","R1,340.00   27 Oct 14:02  ",10/27/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI 2 | 16GB | WiFi | SILVER | ME279LL/A |, ,RETINA DISPLAY, ,*** RETINA DISPLAY **,***  IPAD MINI 2 *** , ,COMES WITH CHARGER & USB CABLE,EXCELLENT CONDITION, , , , COMES WITH  CHARGER & USB CABLE, PLUS BOX,EXCELLENT CONDITION , , , , ,
  ,
,    
"
,,,,,,,,,
IPAD 2 | 3G | 16GB | WiFi | BLACK | GENUINE APPLE *** IPAD2 3G WIFI *** MC773SO/A,https://www.bidorbuy.co.za/item/310388986/IPAD_2_3G_16GB_WiFi_BLACK_GENUINE_APPLE_IPAD2_3G_WIFI_MC773SO_A.html,Apple  iPad 2  16 GB  3G + Wi-Fi,1,"R1,150.","R1,150.00   27 Oct 13:58  ",10/27/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,IPAD 2 | 3G | 16GB | WiFi | BLACK | GENUINE APPLE , ,*** IPAD2 3G WIFI ***  ,MC773SO/A, ,COMES WITH  CHARGER, & ,USB CABLE,GOOD WORKING CONDITION, , , ,
  ,
,    
"
,,,,,,,,,
APPLE iPHONE 4 - 8GB - APPLE REPLACEMENTS IN BOX - EXCELLENT CONDITION + WARRANTY !!!,https://www.bidorbuy.co.za/item/310372331/APPLE_iPHONE_4_8GB_APPLE_REPLACEMENTS_IN_BOX_EXCELLENT_CONDITION_WARRANTY.html,Apple  iPhone 4  8GB  iOS  5 Megapixels or more,1,"R1,108.","R1,108.00   27 Oct 13:47  ",10/27/2017,SLICK TECH,https://www.bidorbuy.co.za/seller/1960639/SLICK_TECH,"
	,	
	  ,APPLE iPHONE 4 - 8GB BLACK,CLEAN CONDITION LIKE NEW !!!,N.B THIS ITEM WILL ONLY BE SENT VIA COURIER FOR SECURITY REASONS, ,THESE ARE APPLE REPLACEMENT PHONES, COMES IN BOX WITH PROTECTIVE FILM, INCLUDES WARRANTY !!! , IN MY OPINION PHONES ARE IN A "" BRAND NEW "" CONDITION, HOWEVER IT ,EXCLUDES, ! , USB CABLE & CHARGER, ITS JUST IPHONE ONLY, PHONES HAVE BEEN CHARGED & TESTED,  PLEASE SEE ACTUAL PICS BELOW, ,iPHONE 4,INCLUDES:,PHONE ONLY !!!,IN BOX,!!! NO CHARGER, NO CABLE, NO ACCESSORIES !!!, ,PAYMENT REQUIRED WITHIN 24HRS OF PURCHASE,SEE ACTUAL PICS BELOW, ,
  ,
,    
"
